name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients
banana walnut oatmeal,101,10,1001,2008-03-12,"['15-minutes-or-less', 'breakfast', 'healthy', 'vegetarian', 'easy']","[287.4, 12.0, 45.0, 4.0, 14.0, 6.0, 16.0]",4,"['bring water to a boil', 'stir in oats and cook for 5 minutes', 'mash in the banana', 'top with chopped walnuts and a drizzle of honey']","a warm, naturally sweet bowl of oatmeal with banana and toasted walnuts.","['rolled oats', 'water', 'banana', 'walnuts', 'honey', 'cinnamon']",6
naina s stuffed chicken,102,55,1002,2009-07-01,"['main-dish', 'chicken', 'meat', 'dinner-party', 'indian']","[612.5, 38.0, 9.0, 28.0, 71.0, 14.0, 6.0]",6,"['mix the minced meat with spices', 'butterfly the chicken breasts', 'stuff with the spiced mince and a hard-boiled egg', 'secure with toothpicks', 'sear on all sides', 'bake until cooked through']","chicken breasts stuffed with spiced mincemeat, potato and egg.","['chicken', 'mincemeat', 'potato', 'onions', 'garam masala powder', 'red chili powder', 'turmeric powder', 'tomatoes', 'oil', 'ginger-garlic paste', 'lemon juice', 'salt', 'hard-boiled egg', 'fresh coriander leaves']",14
15 minute vegan tomato pasta,103,15,1003,2011-09-21,"['15-minutes-or-less', 'vegan', 'pasta', 'easy', 'dinner']","[321.0, 8.0, 12.0, 18.0, 11.0, 2.0, 52.0]",3,"['cook pasta until al dente', 'simmer crushed tomatoes with garlic and basil', 'toss pasta with the sauce and olive oil']",a quick weeknight vegan pasta with a simple garlic tomato sauce.,"['spaghetti', 'crushed tomatoes', 'garlic', 'olive oil', 'fresh basil', 'salt']",6
low carb cauliflower rice stir fry,104,20,1004,2014-02-14,"['low-carb', 'vegetarian', 'gluten-free', 'healthy', 'dinner']","[210.0, 14.0, 8.0, 22.0, 16.0, 3.0, 7.0]",4,"['pulse cauliflower into rice-sized pieces', 'saute garlic and ginger in sesame oil', 'add cauliflower and mixed vegetables', 'stir fry for 6 minutes and season with soy sauce']","a light, low-carb stir fry using cauliflower instead of rice.","['cauliflower', 'mixed vegetables', 'garlic', 'ginger', 'sesame oil', 'soy sauce', 'green onions']",7
onion y chicken and rice,105,45,1005,2007-11-30,"['main-dish', 'chicken', 'rice', 'one-pot', 'comfort-food']","[498.0, 22.0, 6.0, 30.0, 48.0, 7.0, 35.0]",5,"['brown the chicken thighs', 'soften the onions in the same pan', 'stir in rice and broth', 'return chicken to the pan', 'cover and simmer until rice is tender']",a comforting one-pot chicken and rice cooked with plenty of onions.,"['chicken thighs', 'onions', 'long grain rice', 'chicken broth', 'garlic', 'butter', 'salt', 'pepper']",8
gluten free flourless chocolate cake,106,50,1006,2012-05-18,"['dessert', 'gluten-free', 'chocolate', 'cake', 'special-occasion']","[389.0, 41.0, 78.0, 9.0, 12.0, 60.0, 24.0]",5,"['melt chocolate with butter', 'whisk in sugar and eggs', 'fold in cocoa powder', 'pour into a lined pan', 'bake until just set and cool before serving']","a dense, fudgy flourless chocolate cake that is naturally gluten free.","['dark chocolate', 'butter', 'sugar', 'eggs', 'cocoa powder', 'vanilla extract', 'salt']",7
easy vegetarian black bean chili,107,40,1007,2010-10-05,"['vegetarian', 'beans', 'dinner', 'easy', 'one-pot', 'healthy']","[276.0, 6.0, 14.0, 26.0, 30.0, 1.0, 44.0]",5,"['saute onion, pepper and garlic', 'add spices and toast briefly', 'stir in black beans and tomatoes', 'simmer for 25 minutes', 'serve topped with cilantro']",a hearty meatless chili built on black beans and warm spices.,"['black beans', 'onion', 'bell pepper', 'garlic', 'diced tomatoes', 'chili powder', 'cumin', 'cilantro']",8
eggs cheese and tomato breakfast scramble,108,12,1008,2013-01-22,"['breakfast', 'eggs', 'vegetarian', '15-minutes-or-less', 'easy']","[245.0, 28.0, 4.0, 16.0, 38.0, 18.0, 3.0]",4,"['whisk the eggs with salt and pepper', 'cook the tomatoes in butter until soft', 'pour in the eggs and gently scramble', 'fold in shredded cheese off the heat']","a fast, protein-rich scramble with eggs, melty cheese and tomatoes.","['eggs', 'cheddar cheese', 'tomatoes', 'butter', 'salt', 'pepper', 'chives']",7
best carrot soup,109,45,1009,2006-04-09,"['soup', 'healthy', 'vegetarian', 'low-calorie', 'lunch']","[169.1, 9.0, 22.0, 14.0, 8.0, 4.0, 18.0]",5,"['soften onion in olive oil', 'add carrots and broth', 'simmer until carrots are tender', 'blend until smooth', 'season and finish with a swirl of cream']","a smooth, lightly sweet carrot soup that is comforting and healthy.","['carrots', 'onion', 'vegetable broth', 'olive oil', 'garlic', 'cream', 'salt', 'pepper']",8
carrot tahini sandwich,110,10,1010,2015-06-11,"['lunch', 'vegan', 'sandwich', '15-minutes-or-less', 'easy']","[342.0, 18.0, 20.0, 24.0, 18.0, 3.0, 38.0]",4,"['whisk tahini with lemon juice and water', 'grate the carrots', 'toss carrots with the tahini dressing', 'pile onto bread with greens and close the sandwich']",a fresh vegan sandwich of grated carrot in a lemony tahini dressing.,"['carrots', 'tahini', 'lemon juice', 'whole grain bread', 'spinach', 'garlic', 'salt']",7
banana walnut bread,111,65,1011,2009-12-03,"['breakfast', 'baking', 'vegetarian', 'snack', 'quick-breads']","[298.0, 16.0, 62.0, 12.0, 9.0, 8.0, 40.0]",5,"['mash the ripe bananas', 'cream butter and sugar', 'mix in eggs and bananas', 'fold in flour and walnuts', 'bake in a loaf pan until a skewer comes out clean']","a moist banana bread studded with walnuts, great for using up ripe bananas.","['ripe bananas', 'flour', 'butter', 'sugar', 'eggs', 'walnuts', 'baking soda', 'salt']",8
slow cooker stuffing,112,240,1012,2011-11-12,"['side-dish', 'holiday', 'slow-cooker', 'comfort-food', 'thanksgiving']","[221.0, 15.0, 8.0, 34.0, 10.0, 9.0, 28.0]",5,"['saute onion and celery in butter', 'toss bread cubes with the vegetables and herbs', 'pour over the broth and beaten eggs', 'transfer to the slow cooker', 'cook on low for 4 hours']",a hands-off herbed bread stuffing made entirely in the slow cooker.,"['bread cubes', 'onion', 'celery', 'butter', 'chicken broth', 'eggs', 'sage', 'thyme', 'salt', 'pepper']",10
